person,height,weight,age,gender,blood
p095,158.8,48.2,57.0,Female,A
p096,77.3,9.9,1.0,Female,
p097,160.7,64.5,43.0,Male,B
p098,161.5,76.3,17.0,Female,O
p099,152.1,68.1,30.0,Female,O
p100,165.0,50.8,27.0,Female,O
p101,147.2,55.2,13.0,Female,
p102,168.1,49.1,24.0,Female,A
p103,157.3,89.5,42.0,Male,AB
p104,127.2,35.3,10.0,Female,
p105,157.3,54.9,41.0,Female,A
p106,179.8,106.3,47.0,Male,O
p107,177.9,87.2,31.0,Male,A
p108,162.4,,,Female,AB
p109,167.3,63.0,59.0,Male,A
p110,146.3,49.4,66.0,Female,A
p111,158.7,72.5,23.0,Female,B
p112,159.5,65.9,39.0,Female,O
p113,153.7,55.2,24.0,Female,B
p114,157.7,60.5,31.0,Male,A
p115,185.8,99.5,44.0,Male,B
p116,157.5,50.6,69.0,Female,O
p117,158.2,77.0,19.0,Male,B
p118,178.4,77.0,54.0,Male,A
p119,173.3,84.8,47.0,Male,A
p120,160.8,62.2,51.0,Male,O
p121,145.0,58.3,53.0,Female,A
p122,182.6,93.0,39.0,Male,A
p123,170.7,79.1,55.0,Female,A
p124,170.1,77.0,30.0,Female,B
p125,157.3,56.5,48.0,Female,A
p126,185.2,64.5,32.0,Male,B
p127,159.8,75.7,59.0,Male,A
p128,143.2,53.8,78.0,Female,O
p129,158.4,66.5,40.0,Male,O
p130,163.6,77.8,31.0,Female,B
p131,159.9,82.7,48.0,Male,B
p132,169.0,85.6,58.0,Male,A
p133,168.2,86.1,41.0,Male,O
p134,171.6,48.2,34.0,Female,O
p135,160.7,55.6,60.0,Female,O
p136,143.5,56.7,56.0,Female,O
p137,186.2,84.6,29.0,Male,B
p138,184.6,67.5,46.0,Male,A
p139,146.1,40.1,42.0,Female,A
p140,167.7,82.5,47.0,Female,A
p141,152.2,75.3,22.0,Female,B
p142,160.2,81.4,46.0,Female,B
p143,148.4,54.5,52.0,Female,O
p144,144.4,44.7,79.0,Female,O
p145,154.3,73.4,42.0,Female,A
p146,160.0,86.2,39.0,Male,A
p147,178.5,63.7,24.0,Male,O
p148,173.4,93.8,30.0,Male,O
p149,168.9,78.9,42.0,Female,B
p150,158.8,55.1,47.0,Female,B
p151,174.8,96.3,48.0,Male,AB
p152,177.7,72.2,57.0,Male,A
p153,170.7,82.6,58.0,Female,A
p154,177.1,94.9,39.0,Male,B
p155,160.5,53.8,77.0,Female,B
p156,103.2,21.6,3.0,Male,
p157,168.5,74.9,36.0,Female,O
p158,167.4,82.4,54.0,Male,A
p159,168.7,59.3,57.0,Male,A
p160,185.7,74.4,53.0,Male,O
p161,171.2,86.0,34.0,Male,B
p162,184.5,75.3,23.0,Male,O
p163,153.9,57.0,74.0,Female,A
p164,155.9,61.3,25.0,Male,A
p165,166.0,55.8,15.0,Male,B
p166,174.2,60.1,60.0,Male,AB
p167,184.2,94.5,36.0,Male,O
p168,179.8,97.9,37.0,Male,AB
p169,169.8,78.1,29.0,Female,B
p170,167.9,57.6,58.0,Male,A
p171,177.0,72.0,27.0,Male,O
p172,164.1,81.3,44.0,Male,O
p173,175.9,71.6,50.0,Male,O
p174,135.9,37.0,11.0,Female,
p175,151.3,72.1,34.0,Female,O
p176,162.5,76.7,56.0,Male,AB
p177,168.7,77.2,56.0,Female,O
p178,165.0,72.0,46.0,Male,O
p179,146.7,55.8,34.0,Female,A
p180,156.8,76.3,52.0,Female,O
p181,163.7,70.9,56.0,Female,A
p182,164.5,76.2,67.0,Female,O
p183,163.8,65.2,33.0,Male,AB
p184,177.1,59.1,57.0,Male,A
p185,137.5,45.6,10.0,Male,
p186,153.4,70.1,36.0,Female,AB
p187,170.2,73.1,52.0,Female,A
p188,179.1,60.2,23.0,Male,A
p189,169.3,68.5,26.0,Female,A
p190,159.2,47.7,34.0,Male,B
p191,149.6,65.6,21.0,Female,O
p192,186.1,74.1,22.0,Male,B
p193,164.6,48.1,47.0,Female,O
p194,162.2,69.6,72.0,Female,A
p195,157.1,42.3,11.0,Male,
p196,169.4,81.9,71.0,Male,A
p197,174.9,73.5,72.0,Male,A
p198,165.0,58.7,40.0,Female,O
p199,184.5,92.8,37.0,Male,B
p200,173.9,97.7,55.0,Male,O
